179.20917516836698, 1357.8804649818856
778.5823831432954, 1329.412549176502
953.9241181569648, 1344.2244004356423
1553.2439821297596, 1330.3549598808652
1845.5957858238319, 1323.4113489364543
2452.197106087884, 1316.8500366740016
2686.083883443356, 1309.835300393412
2817.630192705208, 1309.9953323998132
3022.2044408881784, 1324.8427463270434
3577.595519103821, 1332.8176746460401
3818.790424751618, 1325.8118290324735
4461.852370474095, 1341.1926829810402
4717.583516703341, 1356.1023315774262
4841.9017136760685, 1334.3557600408965
5061.17223444689, 1327.323242426263
5492.37847569514, 1320.548554155275
5726.131893045276, 1350.0300060011998
5835.753817430153, 1350.1633660065343
6069.6672667866915, 1335.8493921006418
6566.6199906648, 1336.453957458158
